song,date
/single/Burning%20Man/Dierks%20Bentley%20Featuring%20Brothers%20Osborne/,2019-01-05
/single/Beautiful%20Crazy/Luke%20Combs/,2019-01-05
/single/When%20The%20Party%27s%20Over/Billie%20Eilish/,2019-01-05
/single/Sweet%20But%20Psycho/Ava%20Max/,2019-01-05
/single/This%20Feeling/The%20Chainsmokers%20Featuring%20Kelsea%20Ballerini/,2019-01-05
/single/You/Jacquees/,2019-01-05
/single/1.5/21%20Savage/,2019-01-05
/single/Girl%20Like%20You/Jason%20Aldean/,2019-01-05
/single/Out%20For%20The%20Night/21%20Savage/,2019-01-05
/single/Good%20Girl/Dustin%20Lynch/,2019-01-05
/single/No%20Stylist/French%20Montana%20Featuring%20Drake/,2019-01-05
/single/Lovely/Billie%20Eilish%20%26%20Khalid/,2019-01-05
/single/Ella%20Quiere%20Beber/Anuel%20AA%20%26%20Romeo%20Santos/,2019-01-05
/single/Gun%20Smoke/21%20Savage/,2019-01-05
/single/Demons%20and%20Angels/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%20Juice%20WRLD/,2019-01-05
/single/ASMR/21%20Savage/,2019-01-05
/single/Last%20Shot/Kip%20Moore/,2019-01-05
/single/Fine%20China/Future%20%26%20Juice%20WRLD/,2019-01-05
/single/Envy%20Me/Calboy/,2019-01-05
/single/Lost%20In%20Japan/Shawn%20Mendes%20X%20Zedd/,2019-01-05
/single/This%20Is%20It/Scotty%20McCreery/,2019-01-05
/single/Without%20Me/Halsey/,2019-01-12
/single/Thank%20U%2C%20Next/Ariana%20Grande/,2019-01-12
/single/Sunflower%20%28Spider-Man%3A%20Into%20The%20Spider-Verse%29/Post%20Malone%20%26%20Swae%20Lee/,2019-01-12
/single/Sicko%20Mode/Travis%20Scott/,2019-01-12
/single/High%20Hopes/Panic%21%20At%20The%20Disco/,2019-01-12
/single/Happier/Marshmello%20%26%20Bastille/,2019-01-12
/single/Girls%20Like%20You/Maroon%205%20Featuring%20Cardi%20B/,2019-01-12
/single/Drip%20Too%20Hard/Lil%20Baby%20%26%20Gunna/,2019-01-12
/single/ZEZE/Kodak%20Black%20Featuring%20Travis%20Scott%20%26%20Offset/,2019-01-12
/single/Better%20Now/Post%20Malone/,2019-01-12
/single/Eastside/Benny%20Blanco%2C%20Halsey%20%26%20Khalid/,2019-01-12
/single/Wake%20Up%20In%20The%20Sky/Gucci%20Mane%20x%20Bruno%20Mars%20x%20Kodak%20Black/,2019-01-12
/single/Wow./Post%20Malone/,2019-01-12
/single/Youngblood/5%20Seconds%20Of%20Summer/,2019-01-12
/single/Mo%20Bamba/Sheck%20Wes/,2019-01-12
/single/Breathin/Ariana%20Grande/,2019-01-12
/single/Money/Cardi%20B/,2019-01-12
/single/Lucid%20Dreams/Juice%20WRLD/,2019-01-12
/single/Taki%20Taki/DJ%20Snake%20Featuring%20Selena%20Gomez%2C%20Ozuna%20%26%20Cardi%20B/,2019-01-12
/single/MIA/Bad%20Bunny%20Featuring%20Drake/,2019-01-12
/single/Going%20Bad/Meek%20Mill%20Featuring%20Drake/,2019-01-12
/single/Leave%20Me%20Alone/Flipp%20Dinero/,2019-01-12
/single/Trip/Ella%20Mai/,2019-01-12
/single/Speechless/Dan%20%2B%20Shay/,2019-01-12
/single/Natural/Imagine%20Dragons/,2019-01-12
/single/I%20Like%20It/Cardi%20B%2C%20Bad%20Bunny%20%26%20J%20Balvin/,2019-01-12
/single/Love%20Lies/Khalid%20%26%20Normani/,2019-01-12
/single/Beautiful/Bazzi%20Featuring%20Camila%20Cabello/,2019-01-12
/single/Shallow/Lady%20Gaga%20%26%20Bradley%20Cooper/,2019-01-12
/single/Better/Khalid/,2019-01-12
/single/She%20Got%20The%20Best%20Of%20Me/Luke%20Combs/,2019-01-12
/single/Baby%20Shark/Pinkfong/,2019-01-12
