date,track,artist
2019-01-12,Speechless,Dan   Shay
2019-01-12,Natural,Imagine Dragons
2019-01-12,I Like It,Cardi B  Bad Bunny   J Balvin
2019-01-12,Love Lies,Khalid   Normani
2019-01-12,Beautiful,Bazzi  Camila Cabello
2019-01-12,Shallow,Lady Gaga   Bradley Cooper
2019-01-12,Better,Khalid
2019-01-12,She Got The Best Of Me,Luke Combs
2019-01-12,Baby Shark,Pinkfong
2019-01-12,Close To Me,Ellie Goulding Diplo  Swae Lee
2019-01-12,You Say,Lauren Daigle
2019-01-12,Uproar,Lil Wayne
2019-01-12,A Lot,21 Savage
2019-01-12,Best Shot,Jimmie Allen
2019-01-12,Swervin,A Boogie Wit da Hoodie  6ix9ine
2019-01-12,Drunk Me,Mitchell Tenpenny
2019-01-12,Be Alright,Dean Lewis
2019-01-12,Sweet But Psycho,Ava Max
2019-01-12,Sixteen,Thomas Rhett
2019-01-12,Talk To Me,Tory Lanez   Rich The Kid
2019-01-12,Backin  It Up,Pardison Fontaine  Cardi B
2019-01-12,Burning Man,Dierks Bentley  Brothers Osborne
2019-01-12,Dangerous,Meek Mill  Jeremih   PnB Rock
2019-01-12,Good Girl,Dustin Lynch
2019-01-12,Beautiful Crazy,Luke Combs
2019-01-12,Nothing Breaks Like A Heart,Mark Ronson  Miley Cyrus
2019-01-12,This Feeling,The Chainsmokers  Kelsea Ballerini
2019-01-12,Consequences,Camila Cabello
2019-01-12,Girl Like You,Jason Aldean
2019-01-12,Last Shot,Kip Moore
2019-01-12,Look Back At It,A Boogie Wit da Hoodie
2019-01-12,Arms Around You,XXXTENTACION Lil Pump  Maluma   Swae Lee
2019-01-12,Armed and Dangerous,Juice WRLD
2019-01-12,This Is It,Scotty McCreery
2019-01-12,Calling My Spirit,Kodak Black
2019-01-12,You,Jacquees
2019-01-12,No Stylist,French Montana  Drake
2019-01-12,Startender,A Boogie Wit da Hoodie  Offset   Tyga
2019-01-12,Electricity,Silk City Dua Lipa
2019-01-12,Imagine,Ariana Grande
2019-01-12,Ella Quiere Beber,Anuel AA   Romeo Santos
2019-01-12,Can t Leave Without It,21 Savage
2019-01-12,Envy Me,Calboy
2019-01-12,Smile  Living My Best Life,Lil  Duval  Snoop Dogg   Ball Greezy
2019-01-12,When The Party s Over,Billie Eilish
2019-01-12,Millionaire,Chris Stapleton
2019-01-12,BAD,XXXTENTACION
2019-01-12,Lost In Japan,Shawn Mendes Zedd
2019-01-12,Pure Cocaine,Lil Baby
2019-01-12,Lovely,Billie Eilish   Khalid
2019-01-12,Fine China,Future   Juice WRLD
2019-01-12,Take It From Me,Jordan Davis
2019-01-12,What Makes You Country,Luke Bryan
2019-01-12,Yosemite,Travis Scott
2019-01-12,Monster,21 Savage
2019-01-12,Blue Tacoma,Russell Dickerson
2019-01-12,Down To The Honkytonk,Jake Owen
2019-01-12,Close Friends,Lil Baby
2019-01-12,Love Someone,Lukas Graham
2019-01-12,Love Wins,Carrie Underwood
2019-01-12,KIKA,6ix9ine  Tory Lanez
2019-01-12,Nuketown,Ski Mask The Slump God  Juice WRLD
2019-01-12,Ruin My Life,Zara Larsson
2019-01-12,Body,Loud Luxury  Brando
2019-01-12,Dip,Tyga   Nicki Minaj
2019-01-12,Good Form,Nicki Minaj  Lil Wayne
2019-01-12,Demons and Angels,A Boogie Wit da Hoodie  Juice WRLD
2019-01-12,Here Tonight,Brett Young
2019-01-12,Burn Out,Midland
2019-01-12,Solo de Mi,Bad Bunny
2019-01-12,Lucky You,Eminem  Joyner Lucas
2019-01-12,Roses,Benny Blanco   Juice WRLD  Brendon Urie
2019-01-12,whoa  mind in awe,XXXTENTACION
2019-01-12,All My Friends,21 Savage
2019-01-12,Make It Sweet,Old Dominion
2019-01-12,Ocean Eyes,Billie Eilish
2019-01-12,idontwannabeyouanymore,Billie Eilish
2019-01-19,Sunflower  Spider-Man  Into The Spider-Verse,Post Malone   Swae Lee
2019-01-19,Without Me,Halsey
2019-01-19,Thank U  Next,Ariana Grande
2019-01-19,Sicko Mode,Travis Scott
2019-01-19,High Hopes,Panic  At The Disco
2019-01-19,Happier,Marshmello   Bastille
2019-01-19,Girls Like You,Maroon 5  Cardi B
2019-01-19,Drip Too Hard,Lil Baby   Gunna
2019-01-19,Eastside,Benny Blanco  Halsey   Khalid
2019-01-19,ZEZE,Kodak Black  Travis Scott   Offset
2019-01-19,Wow.,Post Malone
2019-01-19,Wake Up In The Sky,Gucci Mane Bruno Mars Kodak Black
2019-01-19,Better Now,Post Malone
2019-01-19,Mo Bamba,Sheck Wes
2019-01-19,Breathin,Ariana Grande
2019-01-19,Youngblood,5 Seconds Of Summer
2019-01-19,Money,Cardi B
2019-01-19,Going Bad,Meek Mill  Drake
2019-01-19,Taki Taki,DJ Snake  Selena Gomez  Ozuna   Cardi B
2019-01-19,MIA,Bad Bunny  Drake
2019-01-19,Leave Me Alone,Flipp Dinero
2019-01-19,Lucid Dreams,Juice WRLD
2019-01-19,Shallow,Lady Gaga   Bradley Cooper
2019-01-19,Better,Khalid
2019-01-19,Speechless,Dan   Shay
2019-01-19,Trip,Ella Mai
2019-01-19,Beautiful,Bazzi  Camila Cabello
2019-01-19,Love Lies,Khalid   Normani
2019-01-19,Natural,Imagine Dragons
2019-01-19,I Like It,Cardi B  Bad Bunny   J Balvin
2019-01-19,Close To Me,Ellie Goulding Diplo  Swae Lee
2019-01-19,She Got The Best Of Me,Luke Combs
2019-01-19,A Lot,21 Savage
2019-01-19,You Say,Lauren Daigle
2019-01-19,Undecided,Chris Brown
2019-01-19,Uproar,Lil Wayne
2019-01-19,Sweet But Psycho,Ava Max
2019-01-19,Baby Shark,Pinkfong
2019-01-19,Best Shot,Jimmie Allen
2019-01-19,Swervin,A Boogie Wit da Hoodie  6ix9ine
2019-01-19,Beautiful Crazy,Luke Combs
2019-01-19,Be Alright,Dean Lewis
2019-01-19,Nothing Breaks Like A Heart,Mark Ronson  Miley Cyrus
2019-01-19,Good Girl,Dustin Lynch
2019-01-19,Sixteen,Thomas Rhett
2019-01-19,Crushed Up,Future
2019-01-19,Burning Man,Dierks Bentley  Brothers Osborne
2019-01-19,Backin  It Up,Pardison Fontaine  Cardi B
2019-01-19,Look Back At It,A Boogie Wit da Hoodie
2019-01-19,Girl Like You,Jason Aldean
2019-01-19,This Feeling,The Chainsmokers  Kelsea Ballerini
2019-01-19,Consequences,Camila Cabello
2019-01-19,This Is It,Scotty McCreery
2019-01-19,Armed and Dangerous,Juice WRLD
2019-01-19,Arms Around You,XXXTENTACION Lil Pump  Maluma   Swae Lee
2019-01-19,Calling My Spirit,Kodak Black
2019-01-19,Talk To Me,Tory Lanez   Rich The Kid
2019-01-19,You,Jacquees
2019-01-19,Startender,A Boogie Wit da Hoodie  Offset   Tyga
2019-01-19,Last Shot,Kip Moore
2019-01-19,No Stylist,French Montana  Drake
2019-01-19,Electricity,Silk City Dua Lipa
2019-01-19,Envy Me,Calboy
2019-01-19,Ella Quiere Beber,Anuel AA   Romeo Santos
2019-01-19,Lovely,Billie Eilish   Khalid
2019-01-19,Pure Cocaine,Lil Baby
2019-01-19,Millionaire,Chris Stapleton
2019-01-19,When The Party s Over,Billie Eilish
2019-01-19,Take It From Me,Jordan Davis
2019-01-19,Can t Leave Without It,21 Savage
