date,track,artist,URI
2019-01-05,Close To Me,Ellie Goulding Diplo  Swae Lee,spotify:track:2GjMaJ7DacMIkgoe8oMXGg
2019-01-05,Best Shot,Jimmie Allen,spotify:track:3eDNb3ZG3gKgjAAgJBcOL8
2019-01-05,Dangerous,Meek Mill  Jeremih   PnB Rock,spotify:track:3lb5fWSG2p7x8ik8HN9oFR
2019-01-05,Be Alright,Dean Lewis,spotify:track:5qrSlOut2rNAWv3ubArkNy
2019-01-05,Drunk Me,Mitchell Tenpenny,spotify:track:1G4cdOtF36ZCs6i2dZoC87
2019-01-05,Startender,A Boogie Wit da Hoodie  Offset   Tyga,spotify:track:0jAfdqv18goRTUxm3ilRjb
2019-01-05,Look Back At It,A Boogie Wit da Hoodie,spotify:track:3Ol2xnObFdKV9pmRD2t9x8
2019-01-05,All My Friends,21 Savage,spotify:track:4paAidoE8VAemwU4jgCc6l
2019-01-05,BAD,XXXTENTACION,spotify:track:22An65gG31JLf9n18qjdhZ
2019-01-05,Backin  It Up,Pardison Fontaine  Cardi B,spotify:track:0PpfPNtQOOvbMNVJijTQj0
2019-01-05,Break Da Law,21 Savage,spotify:track:5ZSIExfQuVv69tw5Qw3yDl
2019-01-05,Imagine,Ariana Grande,spotify:track:39LmTF9RgyakzSYX8txrow
2019-01-05,Talk To Me,Tory Lanez   Rich The Kid,spotify:track:2QihWAl9xAwGPm5vGoO7uM
2019-01-05,Monster,21 Savage,spotify:track:2FUNBaa5DwItJtYEBgAblU
2019-01-05,Calling My Spirit,Kodak Black,spotify:track:2MShy1GSSgbmGUxADNIao5
2019-01-05,Consequences,Camila Cabello,spotify:track:7sTtHHrD0zDpmzQzH3zegz
2019-01-05,Armed and Dangerous,Juice WRLD,spotify:track:5wujBwqG7INdStqGd4tRMX
2019-01-05,Arms Around You,XXXTENTACION Lil Pump  Maluma   Swae Lee,spotify:track:2LskIZrCeLxRvCiGP8gxlh
2019-01-05,Nothing Breaks Like A Heart,Mark Ronson  Miley Cyrus,spotify:track:02dRkCEc8Q5ch4TTcnLxOn
2019-01-05,Sixteen,Thomas Rhett,spotify:track:3pJkBPHadRAxBBo484RipI
2019-01-05,Burning Man,Dierks Bentley  Brothers Osborne,spotify:track:4a1oIihVt6xSnDRpgX387M
2019-01-05,Beautiful Crazy,Luke Combs,spotify:track:2rxQMGVafnNaRaXlRMWPde
2019-01-05,When The Party s Over,Billie Eilish,spotify:track:43zdsphuZLzwA9k4DJhU0I
2019-01-05,Sweet But Psycho,Ava Max,spotify:track:7DnAm9FOTWE3cUvso43HhI
2019-01-05,This Feeling,The Chainsmokers  Kelsea Ballerini,spotify:track:4NBTZtAt1F13VvlSKe6KTl
2019-01-05,You,Jacquees,spotify:track:01jIO8SJFnpSiNLH1JaBZ5
2019-01-05,1.5,21 Savage,spotify:track:2wOXxtHZgRkkrkEbKLzzqs
2019-01-05,Girl Like You,Jason Aldean,spotify:track:6ozPVrrStfjZMlg6bnLegx
2019-01-05,Out For The Night,21 Savage,spotify:track:4B8vU5oDXVxO5OkLAI4aLx
2019-01-05,Good Girl,Dustin Lynch,spotify:track:3NgcaTIgVh77DdwAInp996
2019-01-05,No Stylist,French Montana  Drake,spotify:track:04MLEeAMuV9IlHEsD8vF6A
2019-01-05,Lovely,Billie Eilish   Khalid,spotify:track:0u2P5u6lvoDfwTYjAADbn4
2019-01-05,Ella Quiere Beber,Anuel AA   Romeo Santos,spotify:track:3f5lA8nnc4YYF1qf78WpHw
2019-01-05,Gun Smoke,21 Savage,spotify:track:4f1XXGjZZ9EkFkrbPJek6X
2019-01-05,Demons and Angels,A Boogie Wit da Hoodie  Juice WRLD,spotify:track:3L19besdNQzd342qL78xqm
2019-01-05,ASMR,21 Savage,spotify:track:2QgfDF0fQ4sskDthP8MG5w
2019-01-05,Last Shot,Kip Moore,spotify:track:6viHvc13l9A6Ua6xugpeX6
2019-01-05,Fine China,Future   Juice WRLD,spotify:track:5274I4mUMnYczyeXkGDWZN
2019-01-05,Envy Me,Calboy,spotify:track:7rvyVWja33WG9R97oeJAjx
2019-01-05,Lost In Japan,Shawn Mendes Zedd,spotify:track:575NJxNUVDqwJGdzBrlLbv
2019-01-05,This Is It,Scotty McCreery,spotify:track:74CEfiZthUGX5yUNNUM4bj
2019-01-12,Baby Shark,Pinkfong,spotify:track:5ygDXis42ncn6kYG14lEVG
2019-01-12,Electricity,Silk City Dua Lipa,spotify:track:5N4erncE7kuUccm7zEmwzk
2019-01-12,Smile  Living My Best Life,Lil  Duval  Snoop Dogg   Ball Greezy,spotify:track:17jeLyQcEUmKv3MXeEo79k
2019-01-12,Millionaire,Chris Stapleton,spotify:track:68JS5SFTnW5Yv9Vzw81Jf0
2019-01-12,Pure Cocaine,Lil Baby,spotify:track:577YBGuskWkVDCxZrLRB4v
2019-01-12,Take It From Me,Jordan Davis,spotify:track:3dCZm5HrG0jIXAHfNkg2H0
2019-01-12,What Makes You Country,Luke Bryan,spotify:track:3bDXhWsPiFTHtrsMg5faL2
2019-01-12,Yosemite,Travis Scott,spotify:track:7lAK3oHbfEnvUQWosrMMpR
2019-01-12,Blue Tacoma,Russell Dickerson,spotify:track:5PBx0zFfehUMyv5H4YXVAU
2019-01-12,Down To The Honkytonk,Jake Owen,spotify:track:5g0XcG0apQTlO3X8r38vGf
2019-01-12,Close Friends,Lil Baby,spotify:track:5nzhL67GpF9szXWg5y509A
2019-01-12,Love Someone,Lukas Graham,spotify:track:0OCRwXbQRdOZ1OtB4Imsp1
2019-01-12,Love Wins,Carrie Underwood,spotify:track:4XWnHzCRfRjaHRsTNeh3WR
2019-01-12,KIKA,6ix9ine  Tory Lanez,spotify:track:2gGyUF86bijvQyjcOcJxNw
2019-01-12,Nuketown,Ski Mask The Slump God  Juice WRLD,spotify:track:74lnM5V6ecvoTPV0fvptx9
2019-01-12,Ruin My Life,Zara Larsson,spotify:track:4nyY8oVjbX2d4qzlpiVM5n
